id_num,year,data_string_raw,data_string_cle,wiki,accomplishment,name,category,bday,gender,location,lat,lng,country,state,county,city,FIPS_state
117,1865,"<li>First African-American <a href=""/wiki/Field_officer"" title=""Field officer"">field officer</a> in the <a href=""/wiki/United_States_Army"" title=""United States Army"">U.S. Army</a>: <a href=""/wiki/Martin_Delany"" title=""Martin Delany"">Martin Delany</a><sup id=""cite_ref-39"" class=""reference""><a href=""#cite_note-39"">[36]</a></sup>
</li>",First African-American field officer in the U.S. Army: Martin Delany[36],/wiki/Martin_Delany,First African-American field officer in the U.S. Army,Martin Delany,Military,NA,male,"Charles Town, Virginia (present-day Charles Town, West Virginia), U.S.",39.641788,-79.951903,United States of America,West Virginia,NA,NA,54
117,1865,"<li>First African-American attorney admitted to the bar of the <a href=""/wiki/U.S._Supreme_Court"" class=""mw-redirect"" title=""U.S. Supreme Court"">U.S. Supreme Court</a>: <a href=""/wiki/John_Rock_(abolitionist)"" title=""John Rock (abolitionist)"">John Stewart Rock</a><sup id=""cite_ref-40"" class=""reference""><a href=""#cite_note-40"">[37]</a></sup>
</li>",First African-American attorney admitted to the bar of the U.S. Supreme Court: John Stewart Rock[37],/wiki/John_Rock_(abolitionist),First African-American attorney admitted to the bar of the U.S. Supreme Court,John Rock (abolitionist),Law,1825-10-13,male,"Salem, New Jersey",39.5717796,-75.4671423,United States of America,New Jersey,Salem County,NA,34
117,1865,"<li>First African American to be commissioned as captain in the Regular U.S. Army: <a href=""/wiki/Orindatus_Simon_Bolivar_Wall"" title=""Orindatus Simon Bolivar Wall"">Orindatus Simon Bolivar Wall</a>, known as OSB Wall<sup id=""cite_ref-41"" class=""reference""><a href=""#cite_note-41"">[38]</a></sup>
</li>","First African American to be commissioned as captain in the Regular U.S. Army: Orindatus Simon Bolivar Wall, known as OSB Wall[38]",/wiki/Orindatus_Simon_Bolivar_Wall,First African American to be commissioned as captain in the Regular U.S. Army,Orindatus Simon Bolivar Wall,Military,1825-08-12,NA,"Richmond County, North Carolina",35.0288383,-79.7333261,United States of America,North Carolina,Richmond County,NA,37
119,1866,"<li>First African American to earn a <a href=""/wiki/Ph.D."" class=""mw-redirect"" title=""Ph.D."">Ph.D.</a>: Father <a href=""/wiki/Patrick_Francis_Healy"" title=""Patrick Francis Healy"">Patrick Francis Healy</a> from <a href=""/wiki/Catholic_University_of_Leuven_(1834%E2%80%931968)"" title=""Catholic University of Leuven (1834–1968)"">University of Leuven</a>, Belgium<sup id=""cite_ref-Potter200926_26-1"" class=""reference""><a href=""#cite_note-Potter200926-26"">[25]</a></sup> (See also 1851, 1874)</li>","First African American to earn a Ph.D.: Father Patrick Francis Healy from University of Leuven, Belgium[25] (See also 1851, 1874)",/wiki/Patrick_Francis_Healy,First African American to earn a Ph.D.,Patrick Francis Healy,Education & Science,1834-02-27,male,"Macon, Georgia, United States",32.8406946,-83.6324022,United States of America,Georgia,Bibb County,Macon,13
119,1866,"<li>First African-American woman enlistee in the <a href=""/wiki/United_States_Army"" title=""United States Army"">U.S. Army</a>: <a href=""/wiki/Cathay_Williams"" title=""Cathay Williams"">Cathay Williams</a><sup id=""cite_ref-Holland2007_42-0"" class=""reference""><a href=""#cite_note-Holland2007-42"">[39]</a></sup>
</li>",First African-American woman enlistee in the U.S. Army: Cathay Williams[39],/wiki/Cathay_Williams,First African-American woman enlistee in the U.S. Army,Cathay Williams,Military,NA,female,"Independence, Missouri",39.0924792,-94.4137923,United States of America,Missouri,Jackson County,Independence,29
119,1866,"<li>First African-American woman to serve as a professor: <a href=""/wiki/Sarah_Jane_Woodson_Early"" title=""Sarah Jane Woodson Early"">Sarah Jane Woodson Early</a>; Xenia, Ohio's Wilberforce University hired her to teach Latin and English</li>","First African-American woman to serve as a professor: Sarah Jane Woodson Early; Xenia, Ohio's Wilberforce University hired her to teach Latin and English",/wiki/Sarah_Jane_Woodson_Early,First African-American woman to serve as a professor,Sarah Jane Woodson Early,Military,NA,female,"Ross County, OH",39.3455507,-83.077359,United States of America,Ohio,Ross County,NA,39
121,1868,"<li>First elected African-American <a href=""/wiki/Lieutenant_Governor"" class=""mw-redirect"" title=""Lieutenant Governor"">Lieutenant Governor</a>: <a href=""/wiki/Oscar_Dunn"" title=""Oscar Dunn"">Oscar Dunn</a> (<a href=""/wiki/Louisiana"" title=""Louisiana"">Louisiana</a>).<sup id=""cite_ref-Lynch2012_43-0"" class=""reference""><a href=""#cite_note-Lynch2012-43"">[40]</a></sup>
</li>",First elected African-American Lieutenant Governor: Oscar Dunn (Louisiana).[40],/wiki/Oscar_Dunn,First elected African-American Lieutenant Governor,Oscar Dunn,Politics,NA,male,"New Orleans, Louisiana, USA",29.9499323,-90.0701156,United States of America,Louisiana,Orleans Parish,New Orleans,22
121,1868,"<li>First African-American mayor: <a href=""/wiki/Pierre_Caliste_Landry"" title=""Pierre Caliste Landry"">Pierre Caliste Landry</a>, <a href=""/wiki/Donaldsonville,_Louisiana"" title=""Donaldsonville, Louisiana"">Donaldsonville, Louisiana</a><sup id=""cite_ref-Stodghill_44-0"" class=""reference""><a href=""#cite_note-Stodghill-44"">[41]</a></sup>
</li>","First African-American mayor: Pierre Caliste Landry, Donaldsonville, Louisiana[41]",/wiki/Pierre_Caliste_Landry,First African-American mayor,Pierre Caliste Landry,Politics,1841-04-19,male,NA,NA,NA,NA,NA,NA,NA,NA
121,1868,"<li>First African American elected to the <a href=""/wiki/United_States_House_of_Representatives"" title=""United States House of Representatives"">U.S. House of Representatives</a>: <a href=""/wiki/John_Willis_Menard"" title=""John Willis Menard"">John Willis Menard</a>.<sup id=""cite_ref-45"" class=""reference""><a href=""#cite_note-45"">[42]</a></sup> His opponent contested his election, and opposition to his election prevented him from being seated in Congress. (See also: 1870)</li>","First African American elected to the U.S. House of Representatives: John Willis Menard.[42] His opponent contested his election, and opposition to his election prevented him from being seated in Congress. (See also: 1870)",/wiki/John_Willis_Menard,First African American elected to the U.S. House of Representatives,John Willis Menard,Politics,1838-04-03,male,"Kaskaskia, Illinois",37.9212984,-89.9163078,United States of America,Illinois,Randolph County,NA,17
123,1869,"<li>First African-American U.S. <a href=""/wiki/Diplomat"" title=""Diplomat"">diplomat</a>: <a href=""/wiki/Ebenezer_Bassett"" title=""Ebenezer Bassett"">Ebenezer Don Carlos Bassett</a>, minister to <a href=""/wiki/Haiti"" title=""Haiti"">Haiti</a><sup id=""cite_ref-46"" class=""reference""><a href=""#cite_note-46"">[43]</a></sup>
</li>","First African-American U.S. diplomat: Ebenezer Don Carlos Bassett, minister to Haiti[43]",/wiki/Ebenezer_Bassett,First African-American U.S. diplomat,Ebenezer Bassett,Politics,1833-10-16,male,"Derby, Connecticut, U.S.",41.3223611,-73.0890324,United States of America,Connecticut,New Haven County,NA,09
123,1869,"<li>First African-American woman <a href=""/wiki/School_principal"" class=""mw-redirect"" title=""School principal"">school principal</a>: <a href=""/wiki/Fanny_Jackson_Coppin"" title=""Fanny Jackson Coppin"">Fanny Jackson Coppin</a> (<a href=""/wiki/Institute_for_Colored_Youth"" title=""Institute for Colored Youth"">Institute for Colored Youth</a>)<sup id=""cite_ref-47"" class=""reference""><a href=""#cite_note-47"">[44]</a></sup>
</li>",First African-American woman school principal: Fanny Jackson Coppin (Institute for Colored Youth)[44],/wiki/Fanny_Jackson_Coppin,First African-American woman school principal,Fanny Jackson Coppin,Education & Science,1837-01-08,female,"Washington, D.C.",38.8949924,-77.0365581,United States of America,District of Columbia,NA,Washington,11
126,1870,"<li>First African American to vote in an election under the <a href=""/wiki/Fifteenth_Amendment_to_the_United_States_Constitution"" title=""Fifteenth Amendment to the United States Constitution"">15th Amendment to the United States Constitution</a>, granting voting rights regardless of race: <a href=""/wiki/Thomas_Mundy_Peterson"" title=""Thomas Mundy Peterson"">Thomas Mundy Peterson</a><sup id=""cite_ref-npl_48-0"" class=""reference""><a href=""#cite_note-npl-48"">[45]</a></sup>
</li>","First African American to vote in an election under the 15th Amendment to the United States Constitution, granting voting rights regardless of race: Thomas Mundy Peterson[45]",/wiki/Thomas_Mundy_Peterson,"First African American to vote in an election under the 15th Amendment to the United States Constitution, granting voting rights regardless of race",Thomas Mundy Peterson,Social & Jobs,NA,male,"Metuchen, New Jersey",40.5431598,-74.3632049,United States of America,New Jersey,Middlesex County,NA,34
126,1870,"<li>First African American to graduate from <a href=""/wiki/Harvard_College"" title=""Harvard College"">Harvard College</a>: <a href=""/wiki/Richard_Theodore_Greener"" title=""Richard Theodore Greener"">Richard Theodore Greener</a>.<sup id=""cite_ref-SollorsTitcomb1993_49-0"" class=""reference""><a href=""#cite_note-SollorsTitcomb1993-49"">[46]</a></sup>
</li>",First African American to graduate from Harvard College: Richard Theodore Greener.[46],/wiki/Richard_Theodore_Greener,First African American to graduate from Harvard College,Richard Theodore Greener,Education & Science,1844-01-30,male,"Philadelphia, Pennsylvania",39.9527237,-75.1635262,United States of America,Pennsylvania,Philadelphia County,Philadelphia,42
126,1870,"<li>First African American elected to the <a href=""/wiki/United_States_Senate"" title=""United States Senate"">U.S. Senate</a>, and first to serve in the <a href=""/wiki/U.S._Congress"" class=""mw-redirect"" title=""U.S. Congress"">U.S. Congress</a>: <a href=""/wiki/Hiram_Rhodes_Revels"" title=""Hiram Rhodes Revels"">Hiram Rhodes Revels</a> (<a href=""/wiki/Republican_Party_(United_States)"" title=""Republican Party (United States)"">R</a>–<a href=""/wiki/Mississippi"" title=""Mississippi"">MS</a>).<sup id=""cite_ref-Wasniewski2012_50-0"" class=""reference""><a href=""#cite_note-Wasniewski2012-50"">[47]</a></sup><sup id=""cite_ref-51"" class=""reference""><a href=""#cite_note-51"">[Note 4]</a></sup>
</li>","First African American elected to the U.S. Senate, and first to serve in the U.S. Congress: Hiram Rhodes Revels (R–MS).[47][Note 4]",/wiki/Hiram_Rhodes_Revels,"First African American elected to the U.S. Senate, and first to serve in the U.S. Congress",Hiram Rhodes Revels,Military,1827-09-27,male,"Fayetteville, North Carolina, U.S.",35.098896,-78.9110035,United States of America,North Carolina,Cumberland County,Fayetteville,37
126,1870,"<li>First African American to serve in the <a href=""/wiki/United_States_House_of_Representatives"" title=""United States House of Representatives"">U.S. House of Representatives</a>: <a href=""/wiki/Joseph_Rainey"" title=""Joseph Rainey"">Joseph Rainey</a> (R-<a href=""/wiki/South_Carolina"" title=""South Carolina"">SC</a>).<sup id=""cite_ref-52"" class=""reference""><a href=""#cite_note-52"">[48]</a></sup><sup id=""cite_ref-53"" class=""reference""><a href=""#cite_note-53"">[Note 5]</a></sup>
</li>",First African American to serve in the U.S. House of Representatives: Joseph Rainey (R-SC).[48][Note 5],/wiki/Joseph_Rainey,First African American to serve in the U.S. House of Representatives,Joseph Rainey,Military,1832-06-21,male,"Georgetown, South Carolina, U.S.",33.439327,-79.367525,United States of America,South Carolina,NA,NA,45
126,1870,"<li>First African-American acting governor: <a href=""/wiki/Oscar_James_Dunn"" class=""mw-redirect"" title=""Oscar James Dunn"">Oscar James Dunn</a> of <a href=""/wiki/Louisiana"" title=""Louisiana"">Louisiana</a> from May until August 9, 1871, when sitting Governor Warmoth was incapacitated and chose to recuperate in Mississippi.  (See also: Douglas Wilder, 1990)</li>","First African-American acting governor: Oscar James Dunn of Louisiana from May until August 9, 1871, when sitting Governor Warmoth was incapacitated and chose to recuperate in Mississippi.  (See also: Douglas Wilder, 1990)",/wiki/Oscar_James_Dunn,First African-American acting governor,Oscar James Dunn,Politics,NA,male,"New Orleans, Louisiana, USA",29.9499323,-90.0701156,United States of America,Louisiana,Orleans Parish,New Orleans,22
128,1872,"<li>First African-American <a href=""/wiki/Midshipman"" title=""Midshipman"">midshipman</a> admitted to the <a href=""/wiki/United_States_Naval_Academy"" title=""United States Naval Academy"">United States Naval Academy</a>: <a href=""/wiki/John_H._Conyers"" class=""mw-redirect"" title=""John H. Conyers"">John H. Conyers</a> (nominated by <a href=""/wiki/Robert_B._Elliott"" title=""Robert B. Elliott"">Robert B. Elliott</a> of <a href=""/wiki/South_Carolina"" title=""South Carolina"">South Carolina</a>).<sup id=""cite_ref-54"" class=""reference""><a href=""#cite_note-54"">[49]</a></sup>
</li>",First African-American midshipman admitted to the United States Naval Academy: John H. Conyers (nominated by Robert B. Elliott of South Carolina).[49],/wiki/John_H._Conyers,First African-American midshipman admitted to the United States Naval Academy,John H. Conyers,Military,NA,male,NA,NA,NA,NA,NA,NA,NA,NA
128,1872,"<li>First African-American governor (non-elected): <a href=""/wiki/P._B._S._Pinchback"" title=""P. B. S. Pinchback"">P. B. S. Pinchback</a> of <a href=""/wiki/Louisiana"" title=""Louisiana"">Louisiana</a> (See also: Douglas Wilder, 1990)<sup id=""cite_ref-Dray2008_55-0"" class=""reference""><a href=""#cite_note-Dray2008-55"">[50]</a></sup>
</li>","First African-American governor (non-elected): P. B. S. Pinchback of Louisiana (See also: Douglas Wilder, 1990)[50]",/wiki/P._B._S._Pinchback,First African-American governor (non-elected),P. B. S. Pinchback,Politics,1837-05-10,male,"Macon, Georgia, U.S.",32.8406946,-83.6324022,United States of America,Georgia,Bibb County,Macon,13
128,1872,"<li>First African-American nominee for <a href=""/wiki/Vice_President_of_the_United_States"" title=""Vice President of the United States"">Vice President of the United States</a>: <a href=""/wiki/Frederick_Douglass"" title=""Frederick Douglass"">Frederick Douglass</a> by the <a href=""/wiki/Equal_Rights_Party_(United_States)"" title=""Equal Rights Party (United States)"">Equal Rights Party</a>.<sup id=""cite_ref-Deskins2010_56-0"" class=""reference""><a href=""#cite_note-Deskins2010-56"">[51]</a></sup><sup id=""cite_ref-57"" class=""reference""><a href=""#cite_note-57"">[Note 6]</a></sup>
</li>",First African-American nominee for Vice President of the United States: Frederick Douglass by the Equal Rights Party.[51][Note 6],/wiki/Frederick_Douglass,First African-American nominee for Vice President of the United States,Frederick Douglass,Politics,NA,male,"Cordova, Maryland, U.S.",38.8756695,-75.9960505,United States of America,Maryland,Talbot County,NA,24
130,1873,"<li>First African-American Speaker of the <a href=""/wiki/Mississippi_House_of_Representatives"" title=""Mississippi House of Representatives"">Mississippi House of Representatives</a>, and of any state legislature: <a href=""/wiki/John_R._Lynch"" title=""John R. Lynch"">John R. Lynch</a>
</li>","First African-American Speaker of the Mississippi House of Representatives, and of any state legislature: John R. Lynch",/wiki/John_R._Lynch,"First African-American Speaker of the Mississippi House of Representatives, and of any state legislature",John R. Lynch,Politics,1847-09-10,male,"Vidalia, Louisiana, U.S.",31.5654441,-91.4259495,United States of America,Louisiana,Concordia Parish,NA,22
132,1874,"<li>First African-American president of a major college/university: Father <a href=""/wiki/Patrick_Francis_Healy"" title=""Patrick Francis Healy"">Patrick Francis Healy</a>, S.J. of Georgetown College.<sup id=""cite_ref-Potter200926_26-2"" class=""reference""><a href=""#cite_note-Potter200926-26"">[25]</a></sup> (See also: 1851, 1863, 1866)</li>","First African-American president of a major college/university: Father Patrick Francis Healy, S.J. of Georgetown College.[25] (See also: 1851, 1863, 1866)",/wiki/Patrick_Francis_Healy,First African-American president of a major college/university,Patrick Francis Healy,Education & Science,1834-02-27,male,"Macon, Georgia, United States",32.8406946,-83.6324022,United States of America,Georgia,Bibb County,Macon,13
132,1874,"<li>First African American to preside over the House of Representatives as <a href=""/wiki/Speaker_of_the_United_States_House_of_Representatives#Presiding_officer"" title=""Speaker of the United States House of Representatives"">Speaker pro tempore</a>: <a href=""/wiki/Joseph_Rainey"" title=""Joseph Rainey"">Joseph Rainey</a><sup id=""cite_ref-58"" class=""reference""><a href=""#cite_note-58"">[52]</a></sup>
</li>",First African American to preside over the House of Representatives as Speaker pro tempore: Joseph Rainey[52],/wiki/Joseph_Rainey,First African American to preside over the House of Representatives as Speaker pro tempore,Joseph Rainey,Politics,1832-06-21,male,"Georgetown, South Carolina, U.S.",33.439327,-79.367525,United States of America,South Carolina,NA,NA,45
